iter	RMSE
0	0.7622702194
1	0.5660329285
2	0.4240445695
3	0.3264023294
4	0.2585999585
5	0.2125855395
6	0.1829260529
7	0.1653935209
8	0.1544807904
9	0.1483929709
10	0.1451191904
11	0.1431317008
12	0.1419494785
13	0.1409865603
14	0.1400825603
15	0.1397380055
16	0.1391365399
17	0.1387946376
18	0.1384539408
19	0.1380051888
20	0.1377028502
21	0.1374227991
22	0.1372131695
23	0.1369202635
24	0.1367715546
25	0.1364775082
26	0.1363609189
27	0.1361642182
28	0.1360123353
29	0.1358583654
30	0.1357278097
31	0.1356078332
32	0.1355211762
33	0.1353352112
34	0.1351711082
35	0.1349721928
36	0.13491328
37	0.1346590872
38	0.1343687019
39	0.1341411854
40	0.1340900234
41	0.134031921
42	0.1338253332
43	0.1337425928
44	0.1336554814
45	0.1334554647
46	0.1333041255
47	0.1330710377
48	0.1327932537
49	0.1326389908
50	0.1324421032
51	0.1322588401
52	0.1321274881
53	0.132077108
54	0.1320634499
55	0.1319420197
56	0.131875822
57	0.1317656436
58	0.1315745886
59	0.1313263868
60	0.1312999445
61	0.1311745291
62	0.131055107
63	0.1310248413
64	0.1308465807
65	0.1307063309
66	0.1306529774
67	0.1305055069
68	0.1303677979
69	0.1303571119
70	0.130316418
71	0.1301096107
72	0.1299544896
73	0.1298938823
74	0.129805631
75	0.1297294627
76	0.1296638477
77	0.1296107964
78	0.1294495242
79	0.1292251254
80	0.129184081
81	0.1291148282
82	0.1291085438
83	0.1290721346
84	0.1289519057
85	0.128848283
86	0.1287222528
87	0.1286539893
88	0.1284969164
89	0.1284744819
90	0.128352933
91	0.1282707273
92	0.1281695954
93	0.1281024907
94	0.1280927793
95	0.1280502796
96	0.1279136207
97	0.1277549526
98	0.1275900224
99	0.1274431217
100	0.1273567386
101	0.1272958615
102	0.1271838412
103	0.1271579529
104	0.1271558271
105	0.1270534905
106	0.1268948475
107	0.1268491381
108	0.1267847236
109	0.1267351531
110	0.1266546923
111	0.1265716072
112	0.1264491476
113	0.1263457146
114	0.1262541287
115	0.1261397037
116	0.1260590004
117	0.1260009291
118	0.1259602174
119	0.1258646694
120	0.1258140124
121	0.1256933716
122	0.1255801009
123	0.1255200561
124	0.1254363597
125	0.1253591398
126	0.125275275
127	0.1252312016
128	0.1251127229
129	0.124979515
130	0.124925408
131	0.1248192554
132	0.1247497746
133	0.1246506934
134	0.1245910864
135	0.1245145066
136	0.1244407794
137	0.1243260206
138	0.1242183887
139	0.1240788939
140	0.1240144548
141	0.1239692863
142	0.1238254362
143	0.1236977453
144	0.1235623865
145	0.1235077206
146	0.1234472067
147	0.1233270351
148	0.1232354901
149	0.1231660812
150	0.1230379796
151	0.1229757519
152	0.1228973658
153	0.1228261065
154	0.1227594462
155	0.1227142009
156	0.1226651022
157	0.1225593951
158	0.1225006153
159	0.1224623567
160	0.1223829832
161	0.1223024546
162	0.1221999331
163	0.1221670893
164	0.1220674908
165	0.1220488767
166	0.12193649
167	0.1218940943
