iter	Passed	Remaining
0	95	19073
1	195	19392
2	293	19302
3	388	19042
4	479	18718
5	571	18466
6	664	18311
7	757	18176
8	848	18013
9	940	17873
10	1035	17787
11	1130	17709
12	1218	17527
13	1315	17474
14	1411	17409
15	1516	17437
16	1609	17327
17	1705	17244
18	1809	17235
19	1905	17145
20	2002	17068
21	2100	16998
22	2193	16877
23	2287	16777
24	2377	16641
25	2475	16570
26	2572	16481
27	2682	16476
28	2779	16387
29	2879	16314
30	2976	16227
31	3078	16162
32	3178	16084
33	3274	15987
34	3370	15891
35	3465	15788
36	3568	15721
37	3682	15699
38	3779	15600
39	3871	15484
40	3969	15395
41	4058	15265
42	4153	15163
43	4242	15041
44	4344	14964
45	4443	14875
46	4543	14788
47	4638	14688
48	4733	14587
49	4824	14474
50	4923	14384
51	5021	14292
52	5116	14190
53	5210	14088
54	5289	13946
55	5406	13901
56	5506	13814
57	5597	13703
58	5690	13598
59	5778	13483
60	5867	13370
61	5969	13285
62	6058	13175
63	6156	13082
64	6236	12952
65	6323	12838
66	6409	12722
67	6501	12621
68	6595	12521
69	6667	12383
70	6746	12258
71	6841	12163
72	6941	12076
73	7034	11977
74	7122	11870
75	7207	11760
76	7303	11666
77	7388	11555
78	7468	11438
79	7566	11349
80	7646	11233
81	7737	11134
82	7796	10990
83	7881	10884
84	7964	10775
85	8049	10670
86	8127	10556
87	8230	10475
88	8317	10373
89	8407	10275
90	8487	10166
91	8578	10070
92	8662	9967
93	8750	9867
94	8828	9757
95	8905	9647
96	8990	9546
97	9070	9440
98	9171	9357
99	9263	9263
100	9354	9169
101	9433	9063
102	9526	8971
103	9618	8878
104	9668	8747
105	9774	8668
106	9867	8576
107	9959	8483
108	10042	8384
109	10133	8291
110	10222	8196
111	10338	8123
112	10443	8040
113	10533	7945
114	10631	7858
115	10725	7767
116	10823	7678
117	10928	7594
118	11034	7511
119	11137	7424
120	11242	7339
121	11342	7251
122	11442	7162
123	11535	7070
124	11633	6980
125	11739	6894
126	11843	6807
127	11938	6715
128	12030	6621
129	12134	6534
130	12238	6446
131	12339	6356
132	12433	6263
133	12530	6171
134	12638	6085
135	12749	5999
136	12847	5907
137	12951	5818
138	13043	5724
139	13144	5633
140	13238	5539
141	13334	5446
142	13425	5351
143	13524	5259
144	13615	5164
145	13704	5068
146	13801	4976
147	13906	4886
148	14001	4792
149	14105	4701
150	14205	4609
151	14307	4518
152	14413	4427
153	14511	4334
154	14601	4239
155	14698	4145
156	14786	4049
157	14890	3958
158	14992	3866
159	15084	3771
160	15180	3677
161	15282	3584
162	15381	3491
163	15474	3396
164	15577	3304
165	15671	3209
166	15759	3114
167	15865	3021
